Category: All categories

Week,double glazing: (United Kingdom)
2019-02-24,55
2019-03-03,55
2019-03-10,60
2019-03-17,58
2019-03-24,63
2019-03-31,56
2019-04-07,61
2019-04-14,59
2019-04-21,59
2019-04-28,53
2019-05-05,57
2019-05-12,58
2019-05-19,53
2019-05-26,52
2019-06-02,50
2019-06-09,50
2019-06-16,44
2019-06-23,53
2019-06-30,46
2019-07-07,52
2019-07-14,45
2019-07-21,53
2019-07-28,51
2019-08-04,50
2019-08-11,57
2019-08-18,50
2019-08-25,52
2019-09-01,54
2019-09-08,55
2019-09-15,53
2019-09-22,48
2019-09-29,58
2019-10-06,53
2019-10-13,50
2019-10-20,53
2019-10-27,57
2019-11-03,60
2019-11-10,54
2019-11-17,48
2019-11-24,37
2019-12-01,44
2019-12-08,37
2019-12-15,37
2019-12-22,24
2019-12-29,40
2020-01-05,47
2020-01-12,57
2020-01-19,58
2020-01-26,53
2020-02-02,55
2020-02-09,61
2020-02-16,63
2020-02-23,55
2020-03-01,58
2020-03-08,48
2020-03-15,34
2020-03-22,40
2020-03-29,29
2020-04-05,35
2020-04-12,38
2020-04-19,44
2020-04-26,39
2020-05-03,42
2020-05-10,51
2020-05-17,57
2020-05-24,53
2020-05-31,63
2020-06-07,56
2020-06-14,57
2020-06-21,63
2020-06-28,64
2020-07-05,100
2020-07-12,75
2020-07-19,72
2020-07-26,73
2020-08-02,69
2020-08-09,77
2020-08-16,69
2020-08-23,77
2020-08-30,81
2020-09-06,75
2020-09-13,68
2020-09-20,70
2020-09-27,76
2020-10-04,73
2020-10-11,68
2020-10-18,63
2020-10-25,64
2020-11-01,63
2020-11-08,55
2020-11-15,60
2020-11-22,59
2020-11-29,50
2020-12-06,45
2020-12-13,47
2020-12-20,41
2020-12-27,56
2021-01-03,63
2021-01-10,60
2021-01-17,63
2021-01-24,63
2021-01-31,59
2021-02-07,77
2021-02-14,71
2021-02-21,75
2021-02-28,65
2021-03-07,65
2021-03-14,73
2021-03-21,77
2021-03-28,69
2021-04-04,75
2021-04-11,72
2021-04-18,78
2021-04-25,66
2021-05-02,65
2021-05-09,56
2021-05-16,55
2021-05-23,54
2021-05-30,64
2021-06-06,58
2021-06-13,57
2021-06-20,53
2021-06-27,53
2021-07-04,52
2021-07-11,49
2021-07-18,58
2021-07-25,50
2021-08-01,50
2021-08-08,55
2021-08-15,57
2021-08-22,54
2021-08-29,51
2021-09-05,54
2021-09-12,53
2021-09-19,51
2021-09-26,64
2021-10-03,61
2021-10-10,58
2021-10-17,64
2021-10-24,57
2021-10-31,66
2021-11-07,54
2021-11-14,45
2021-11-21,62
2021-11-28,55
2021-12-05,47
2021-12-12,37
2021-12-19,33
2021-12-26,38
2022-01-02,59
2022-01-09,62
2022-01-16,58
2022-01-23,54
2022-01-30,58
2022-02-06,58
2022-02-13,52
2022-02-20,61
2022-02-27,56
2022-03-06,52
2022-03-13,55
2022-03-20,59
2022-03-27,55
2022-04-03,58
2022-04-10,51
2022-04-17,54
2022-04-24,53
2022-05-01,47
2022-05-08,49
2022-05-15,46
2022-05-22,47
2022-05-29,44
2022-06-05,47
2022-06-12,49
2022-06-19,48
2022-06-26,45
2022-07-03,47
2022-07-10,50
2022-07-17,55
2022-07-24,57
2022-07-31,51
2022-08-07,53
2022-08-14,59
2022-08-21,60
2022-08-28,55
2022-09-04,57
2022-09-11,58
2022-09-18,52
2022-09-25,60
2022-10-02,53
2022-10-09,61
2022-10-16,54
2022-10-23,54
2022-10-30,64
2022-11-06,53
2022-11-13,54
2022-11-20,60
2022-11-27,59
2022-12-04,65
2022-12-11,70
2022-12-18,47
2022-12-25,45
2023-01-01,55
2023-01-08,53
2023-01-15,65
2023-01-22,65
2023-01-29,56
2023-02-05,61
2023-02-12,50
2023-02-19,54
2023-02-26,49
2023-03-05,52
2023-03-12,45
2023-03-19,51
2023-03-26,51
2023-04-02,60
2023-04-09,60
2023-04-16,52
2023-04-23,54
2023-04-30,45
2023-05-07,43
2023-05-14,51
2023-05-21,53
2023-05-28,48
2023-06-04,44
2023-06-11,44
2023-06-18,44
2023-06-25,48
2023-07-02,40
2023-07-09,39
2023-07-16,40
2023-07-23,49
2023-07-30,46
2023-08-06,43
2023-08-13,37
2023-08-20,44
2023-08-27,40
2023-09-03,46
2023-09-10,46
2023-09-17,57
2023-09-24,50
2023-10-01,46
2023-10-08,50
2023-10-15,62
2023-10-22,52
2023-10-29,47
2023-11-05,50
2023-11-12,50
2023-11-19,43
2023-11-26,51
2023-12-03,42
2023-12-10,36
2023-12-17,29
2023-12-24,30
2023-12-31,48
2024-01-07,60
2024-01-14,55
2024-01-21,55
2024-01-28,41
2024-02-04,39
2024-02-11,38
